,Algorithm,1st,2nd,3rd
1,OIGA-C,4,5,0
2,DT_GA-C,2,0,0
3,EACH-C,2,2,0
4,Hider-C,2,1,0
5,PGIRLA-C,2,1,1
6,1R-C,1,0,1
7,C45-C,0,1,1
8,C45Rules-C,0,0,0
9,C45RulesSA-C,0,0,0
10,DT_Oblique-C,0,0,0
11,GPR,0,1,3
12,NSLV-C,0,0,0
13,OCEC-C,0,1,3
14,Ripper-C,0,0,1
15,SLAVE2-C,0,0,3
16,SLAVEv0-C,0,1,0
