,Algorithm,1st,2nd,3rd
1,OIGA-C,4,5,0
2,EACH-C,3,1,0
3,DT_GA-C,2,0,0
4,Hider-C,2,1,0
5,1R-C,1,0,1
6,PGIRLA-C,1,1,2
7,C45-C,0,1,1
8,C45Rules-C,0,0,0
9,C45RulesSA-C,0,0,0
10,DT_Oblique-C,0,1,0
11,GPR,0,2,2
12,NSLV-C,0,0,0
13,OCEC-C,0,0,4
14,Ripper-C,0,0,0
15,SLAVE2-C,0,1,2
16,SLAVEv0-C,0,0,1
