Dataset,Algorithm,Number of classes,Train size,Test size,CV index,MCC,TS,Specificity,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Train time [s],Prediction time [s],Mixed
appendicitis,C45Rules-C,-1,-1,-1,4,0.769800358919501,0.6666666666666666,0.8888888888888888,0.9444444444444444,0.9090909090909092,0.9393939393939394,0.9090909090909092,0.9155080213903743,8,1,0,2,0.2373807430267334,-1,0.9132374926934499
appendicitis,C45Rules-C,-1,-1,-1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,0,0,2,0.2959151268005371,-1,1.0
appendicitis,C45Rules-C,-1,-1,-1,6,0.7637626158259734,0.6666666666666666,0.875,0.9375,0.9,0.9333333333333332,0.9,0.9066666666666666,7,1,0,2,0.2799024581909179,-1,0.9048547974579653
appendicitis,C45Rules-C,-1,-1,-1,7,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2369039058685302,-1,0.672
appendicitis,C45Rules-C,-1,-1,-1,8,0.375,0.3333333333333333,0.875,0.6875,0.8,0.8,0.8,0.8,7,1,1,1,0.3108508586883545,-1,0.74875
appendicitis,C45Rules-C,-1,-1,-1,9,0.6666666666666666,0.5,1.0,0.75,0.9,0.9111111111111112,0.9,0.8862745098039216,8,0,1,1,0.2763350009918213,-1,0.8488888888888889
appendicitis,C45Rules-C,-1,-1,-1,10,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2963275909423828,-1,0.672
appendicitis,C45RulesSA-C,-1,-1,-1,1,0.1111111111111111,0.2,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,7,2,2,1,0.2166147232055664,-1,0.6111111111111112
appendicitis,C45RulesSA-C,-1,-1,-1,2,0.6236095644623235,0.5,0.7777777777777778,0.8888888888888888,0.8181818181818182,0.9090909090909092,0.8181818181818182,0.8371212121212122,7,2,0,2,0.292393684387207,-1,0.8321905792332173
appendicitis,C45RulesSA-C,-1,-1,-1,3,0.3888888888888889,0.3333333333333333,0.8888888888888888,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,8,1,1,1,0.2586863040924072,-1,0.7631313131313131
appendicitis,C45RulesSA-C,-1,-1,-1,4,0.769800358919501,0.6666666666666666,0.8888888888888888,0.9444444444444444,0.9090909090909092,0.9393939393939394,0.9090909090909092,0.9155080213903743,8,1,0,2,0.2640495300292969,-1,0.9132374926934499
appendicitis,C45RulesSA-C,-1,-1,-1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,0,0,2,0.2959151268005371,-1,1.0
appendicitis,C45RulesSA-C,-1,-1,-1,6,0.7637626158259734,0.6666666666666666,0.875,0.9375,0.9,0.9333333333333332,0.9,0.9066666666666666,7,1,0,2,0.2480549812316894,-1,0.9048547974579653
appendicitis,C45RulesSA-C,-1,-1,-1,7,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2369039058685302,-1,0.672
appendicitis,C45RulesSA-C,-1,-1,-1,8,0.375,0.3333333333333333,0.875,0.6875,0.8,0.8,0.8,0.8,7,1,1,1,0.3108508586883545,-1,0.74875
appendicitis,C45RulesSA-C,-1,-1,-1,9,0.6666666666666666,0.5,1.0,0.75,0.9,0.9111111111111112,0.9,0.8862745098039216,8,0,1,1,0.288642406463623,-1,0.8488888888888889
appendicitis,C45RulesSA-C,-1,-1,-1,10,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2963275909423828,-1,0.672
appendicitis,DT_GA-C,-1,-1,-1,1,0.2581988897471611,0.25,0.8888888888888888,0.611111111111111,0.75,0.725,0.75,0.7315789473684212,8,1,2,1,0.2453639507293701,-1,0.6894377222651359
appendicitis,DT_GA-C,-1,-1,-1,2,0.6236095644623235,0.5,0.7777777777777778,0.8888888888888888,0.8181818181818182,0.9090909090909092,0.8181818181818182,0.8371212121212122,7,2,0,2,0.2767143249511719,-1,0.8321905792332173
appendicitis,DT_GA-C,-1,-1,-1,3,0.3888888888888889,0.3333333333333333,0.8888888888888888,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,8,1,1,1,0.2478501796722412,-1,0.7631313131313131
appendicitis,DT_GA-C,-1,-1,-1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,0,0,2,0.2991507053375244,-1,1.0
appendicitis,DT_GA-C,-1,-1,-1,5,0.6708203932499369,0.5,1.0,0.75,0.9090909090909092,0.918181818181818,0.9090909090909092,0.8963317384370018,9,0,1,1,0.2636067867279053,-1,0.8544501105715878
appendicitis,DT_GA-C,-1,-1,-1,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,2,0.2324428558349609,-1,1.0
appendicitis,DT_GA-C,-1,-1,-1,7,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2052564620971679,-1,0.672
appendicitis,DT_GA-C,-1,-1,-1,8,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.3264672756195068,-1,0.672
appendicitis,DT_GA-C,-1,-1,-1,9,0.6666666666666666,0.5,1.0,0.75,0.9,0.9111111111111112,0.9,0.8862745098039216,8,0,1,1,0.2446601390838623,-1,0.8488888888888889
appendicitis,DT_GA-C,-1,-1,-1,10,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2963275909423828,-1,0.672
appendicitis,DT_Oblique-C,-1,-1,-1,1,-0.1740776559556978,0.0,0.8888888888888888,0.4444444444444444,0.6666666666666666,0.5454545454545455,0.6666666666666666,0.6,8,1,3,0,0.2495589256286621,-1,0.5630132889193868
appendicitis,DT_Oblique-C,-1,-1,-1,2,0.6236095644623235,0.5,0.7777777777777778,0.8888888888888888,0.8181818181818182,0.9090909090909092,0.8181818181818182,0.8371212121212122,7,2,0,2,0.3236620426177978,-1,0.8321905792332173
appendicitis,DT_Oblique-C,-1,-1,-1,3,0.3888888888888889,0.3333333333333333,0.8888888888888888,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,8,1,1,1,0.2743723392486572,-1,0.7631313131313131
appendicitis,DT_Oblique-C,-1,-1,-1,4,0.769800358919501,0.6666666666666666,0.8888888888888888,0.9444444444444444,0.9090909090909092,0.9393939393939394,0.9090909090909092,0.9155080213903743,8,1,0,2,0.2796788215637207,-1,0.9132374926934499
appendicitis,DT_Oblique-C,-1,-1,-1,5,0.3888888888888889,0.3333333333333333,0.8888888888888888,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,8,1,1,1,0.3115394115447998,-1,0.7631313131313131
appendicitis,DT_Oblique-C,-1,-1,-1,6,0.4082482904638631,0.3333333333333333,0.5,0.75,0.6,0.8666666666666666,0.6,0.6333333333333333,4,4,0,2,0.2955348491668701,-1,0.6437457478565264
