,Algorithm,1st,2nd,3rd
1,OIGA-C,5,0,2
2,Ripper-C,2,2,1
3,C45-C,1,0,0
4,C45RulesSA-C,1,0,1
5,EACH-C,1,0,0
6,Hider-C,1,1,1
7,OCEC-C,1,1,1
8,SLAVE2-C,1,0,1
9,1R-C,0,0,0
10,C45Rules-C,0,2,2
11,DT_GA-C,0,4,0
12,DT_Oblique-C,0,0,0
13,GPR,0,1,2
14,NSLV-C,0,0,2
15,PGIRLA-C,0,1,0
16,SLAVEv0-C,0,1,0
