,Algorithm,1st,2nd,3rd
1,Ripper-C,6,3,1
2,EACH-C,3,1,0
3,DT_Oblique-C,1,0,0
4,GPR,1,0,0
5,NSLV-C,1,0,1
6,PGIRLA-C,1,0,0
7,1R-C,0,1,1
8,C45-C,0,1,1
9,C45Rules-C,0,0,6
10,C45RulesSA-C,0,3,0
11,DT_GA-C,0,0,0
12,Hider-C,0,0,0
13,OCEC-C,0,2,3
14,OIGA-C,0,1,0
15,SLAVE2-C,0,1,0
16,SLAVEv0-C,0,0,0
